company_name,via,job_id,unique_key,xp,new_title,estado,cidade,is_remote,hard_skills,complemento,soft_skills,graduaçoes,metodologia_trabalho,tipo_contrato
DESKTOP, LinkedIn,eyJqb2JfdGl0bGUiOiJBbmFsaXN0YSBkZSBEYWRvcyBQTCIsImh0aWRvY2lkIjoiT0ZmWFY2QlFpVEV5VU44bUFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSUdRbkpoZW1scyIsImdsIjoiYnIiLCJobCI6InB0LWJyIiwiYXBwbHlfbGluayI6eyJ0aXRsZSI6Ii5uRmcyZWJ7Zm9udC13ZWlnaHQ6NTAwfS5CaTZEZGN7Zm9udC13ZWlnaHQ6NTAwfUFjZXNzZSBlbSBMaW5rZWRJbiIsImxpbmsiOiJodHRwczovL2JyLmxpbmtlZGluLmNvbS9qb2JzL3ZpZXcvYW5hbGlzdGEtZGUtZGFkb3MtcGwtYXQtZGVza3RvcC0zODA2NDY2MDI0P3V0bV9jYW1wYWlnbj1nb29nbGVfam9ic19hcHBseVx1MDAyNnV0bV9zb3VyY2U9Z29vZ2xlX2pvYnNfYXBwbHlcdTAwMjZ1dG1fbWVkaXVtPW9yZ2FuaWMifX0=,8ecd6e25-9471-48ab-979c-b626c35486ef,Pleno,Analista de Dados,SP,Sumaré,False,"Python,SQL,Excel,Power BI",Análise de dados,,Tecnologia da Informação,,
NEOASSIST, Catho,eyJqb2JfdGl0bGUiOiJFbmdlbmhlaXJvIGRlIERhZG9zIFPDqm5pb3IiLCJodGlkb2NpZCI6IjZvOWJjV1pBUC00T2xFYzRBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lHUW5KaGVtbHMiLCJnbCI6ImJyIiwiaGwiOiJwdC1iciIsImFwcGx5X2xpbmsiOnsidGl0bGUiOiJBY2Vzc2UgZW0gQ2F0aG8iLCJsaW5rIjoiaHR0cHM6Ly93d3cuY2F0aG8uY29tLmJyL3ZhZ2FzL2VuZ2VuaGVpcm8tZGUtZGFkb3Mtc2VuaW9yLzI2NDU4OTM2Lz91dG1fY2FtcGFpZ249Z29vZ2xlX2pvYnNfYXBwbHlcdTAwMjZ1dG1fc291cmNlPWdvb2dsZV9qb2JzX2FwcGx5XHUwMDI2dXRtX21lZGl1bT1vcmdhbmljIn19,c5908bf8-d2a6-4f61-b363-3afa26085910,Sênior,Engenheiro de Dados,SP,São Paulo,False,,"Modelagem de dados,ETL,Visualização de dados,Modelagem de dados",Pensamento crítico,,,
KLB Group Brasil, KLB Group,eyJqb2JfdGl0bGUiOiJFTkdFTkhFSVJPIERFIERBRE9TIFNFTklPUiIsImh0aWRvY2lkIjoiOWhWUjBOUk1iT2dzVl9KdkFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSUdRbkpoZW1scyIsImdsIjoiYnIiLCJobCI6InB0LWJyIiwiZmMiOiJFdUlCQ3FJQlFVNTFWMmhqYld4UWJtbDNVMWhaZDFwRWRpMUJZa1pCTVRCb2RraHNiV3hpZUZNemVrbDJZM0ZtWlhGUmVrWm9PVFZ3YVRKNFoxOW9lREJEWVUxQ1QxUklhVVJNUjNwMVNHMWxVek5JTW1GdlJVZEhhR1J5TjJ4MVVtODJaM0JHYlMxcFNGZDZVWEptWXpCNGVHcFRkVnBXVjFBM1ZrNDJXa2R0UlZkaGFqSlJlRlV3UTNoRGFVWk5VR1ZPTVRod01rcEdWRWhKYm1rd2RFNW5iRWhoTW0xUkVoZHBjMU4xV21OZlVrWk5UR2N5Y205UU9FbGhNUzFCWnhvaVFWQllhRzAxV2xFMGRtbHJTR1JpT0RsU1ZEWlhXVlZtY2pKTmIwaHVjbTlVZHciLCJmY3YiOiIzIiwiZmNfaWQiOiJmY18xIiwiYXBwbHlfbGluayI6eyJ0aXRsZSI6IkNhbmRpZGF0YXItc2Ugbm8gc2l0ZSBLTEIgR3JvdXAiLCJsaW5rIjoiaHR0cHM6Ly93d3cua2xiZ3JvdXAuY29tL2pvYi9rbGItZ3JvdXAtYnJhc2lsLXNhby1wYXVsby1icmFzaWwtaXQtZW5nZW5oZWlyby1kZS1kYWRvcy1zZW5pb3IvP3V0bV9jYW1wYWlnbj1nb29nbGVfam9ic19hcHBseVx1MDAyNnV0bV9zb3VyY2U9Z29vZ2xlX2pvYnNfYXBwbHlcdTAwMjZ1dG1fbWVkaXVtPW9yZ2FuaWMifX0=,6e7c1c40-da8a-4465-ac1f-1f83003a3038,Sênior,Engenheiro de Dados,SP,São Paulo,False,"Python,SQL,Databricks,Azure,Data Factory",,,,,PJ
Tecla T, LinkedIn,eyJqb2JfdGl0bGUiOiJEZXNlbnZvbHZlZG9yIEFuYWxpc3RhIGRlIERhZG9zIC0gUmVtb3RvIiwiaHRpZG9jaWQiOiJib25yMERqb2tsR0RUVmdvQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJR1FuSmhlbWxzIiwiZ2wiOiJiciIsImhsIjoicHQtYnIiLCJhcHBseV9saW5rIjp7InRpdGxlIjoiQWNlc3NlIGVtIExpbmtlZEluIiwibGluayI6Imh0dHBzOi8vYnIubGlua2VkaW4uY29tL2pvYnMvdmlldy9kZXNlbnZvbHZlZG9yLWFuYWxpc3RhLWRlLWRhZG9zLXJlbW90by1hdC10ZWNsYS10LTM4MDc0NDI0Njg/dXRtX2NhbXBhaWduPWdvb2dsZV9qb2JzX2FwcGx5XHUwMDI2dXRtX3NvdXJjZT1nb29nbGVfam9ic19hcHBseVx1MDAyNnV0bV9tZWRpdW09b3JnYW5pYyJ9fQ==,6c5bc4a1-ea07-40ca-90e7-d2d0975d9ed3,Não Informado,Analista de Dados,Remoto,Remoto,True,"SQL,Excel,KNIME,Mongo DB,MySQL,PostgreSQL,Oracle,Power Automate,Power Apps","Modelagem de dados,ETL,Modelagem de dados",,,Sprint,
Samsung SDS Latin America, Gupy,eyJqb2JfdGl0bGUiOiJFc3RhZ2nDoXJpbyhhKSBkZSBCYW5jbyBkZSBEYWRvcyIsImh0aWRvY2lkIjoieHQ1V1JRZ1VnRUdwRFlHakFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSUdRbkpoZW1scyIsImdsIjoiYnIiLCJobCI6InB0LWJyIiwiZmMiOiJFdmNCQ3JjQlFVNTFWMmhqYlhCTmNFdENjVFZpV1RSclEzaExURXhaVFVWcFlWSnVkWFl0TTFwdE1WZHFXVGxJUnpWa2NUWnNORVpFUjI1RVlrOVRPVE15ZGtsbmF6RnZibk4xWkVkb2JsZDBVRmxhTWs1NVkyUmhUR3ROTkhaRFFVbzJjbXg0TTI4MFEzVnRNSEZUVm5sb1pEQlVWMkZGYkhKNldIa3lkVkE1VTNWQll6ZzRTRTFZTlhkcldFSk5kbWxzYTJONWVsTkVPVWszYldjM2FrcHRla0YzWlhKd1JWRlZWa3RhYm5aU1RXNVJkV0pYTms5TWNVY3dFaGRwYzFOMVdtTmZVa1pOVEdjeWNtOVFPRWxoTVMxQlp4b2lRVkJZYUcwMVlqWlRZMDQ1TTI5alFsbEljMnhtTkRodVdsQmtkVVk1TFdWaVp3IiwiZmN2IjoiMyIsImZjX2lkIjoiZmNfMiIsImFwcGx5X2xpbmsiOnsidGl0bGUiOiJBY2Vzc2UgZW0gR3VweSIsImxpbmsiOiJodHRwczovL3NhbXN1bmdzZHMuZ3VweS5pby9qb2JzLzY2NDMzMTk/am9iQm9hcmRTb3VyY2U9Z3VweV9wdWJsaWNfcGFnZVx1MDAyNnV0bV9jYW1wYWlnbj1nb29nbGVfam9ic19hcHBseVx1MDAyNnV0bV9zb3VyY2U9Z29vZ2xlX2pvYnNfYXBwbHlcdTAwMjZ1dG1fbWVkaXVtPW9yZ2FuaWMifX0=,96707d3c-1786-4815-84ab-75224bab3146,estagiário,Estagiário(a) de Banco de Dados,SP,São Paulo,False,"SQL,MySQL,PostgreSQL,Oracle,SQL Server",Elaboração de relatórios,Criatividade,"Ciência da Computação,Sistemas de Informação,Banco de Dados",,
EMPREGOS PE, Catho,eyJqb2JfdGl0bGUiOiJBTkFMSVNUQSBERSBEQURPUyBTUi4g4oCTIFJFQ0lGRSAvIFBFIiwiaHRpZG9jaWQiOiJhUF9HSjYzc0hmTEd1a21YQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJR1FuSmhlbWxzIiwiZ2wiOiJiciIsImhsIjoicHQtYnIiLCJhcHBseV9saW5rIjp7InRpdGxlIjoiQWNlc3NlIGVtIENhdGhvIiwibGluayI6Imh0dHBzOi8vd3d3LmNhdGhvLmNvbS5ici92YWdhcy9hbmFsaXN0YS1kZS1kYWRvcy1zci1yZWNpZmUtcGUvMjY0NTM5NDMvP3V0bV9jYW1wYWlnbj1nb29nbGVfam9ic19hcHBseVx1MDAyNnV0bV9zb3VyY2U9Z29vZ2xlX2pvYnNfYXBwbHlcdTAwMjZ1dG1fbWVkaXVtPW9yZ2FuaWMifX0=,874d7824-cff1-4ea5-ac41-8db5cbedd293,Pleno,Analista de Dados,PE,Recife,False,SQL,"ETL,Estrutura de dados",,Banco de Dados,,
BNE - Banco Nacional de Empregos, LinkedIn,eyJqb2JfdGl0bGUiOiJBbmFsaXN0YSBkZSBCYW5jbyBkZSBEYWRvcyIsImh0aWRvY2lkIjoiVS1VZ183VjdtUmw2OEpMdkFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSUdRbkpoZW1scyIsImdsIjoiYnIiLCJobCI6InB0LWJyIiwiYXBwbHlfbGluayI6eyJ0aXRsZSI6IkFjZXNzZSBlbSBMaW5rZWRJbiIsImxpbmsiOiJodHRwczovL2JyLmxpbmtlZGluLmNvbS9qb2JzL3ZpZXcvYW5hbGlzdGEtZGUtYmFuY28tZGUtZGFkb3MtYXQtYm5lLWJhbmNvLW5hY2lvbmFsLWRlLWVtcHJlZ29zLTM4MTA3MDg4NjA/dXRtX2NhbXBhaWduPWdvb2dsZV9qb2JzX2FwcGx5XHUwMDI2dXRtX3NvdXJjZT1nb29nbGVfam9ic19hcHBseVx1MDAyNnV0bV9tZWRpdW09b3JnYW5pYyJ9fQ==,69d44620-4d66-4204-a835-49c341719558,Não Informado,Analista de Banco de Dados,PE,Recife,False,"SQL,Excel,Excel Avançado,Power BI",,,,,
Minsait, VAGAS.com,eyJqb2JfdGl0bGUiOiJQZXNzb2EgQXJxdWl0ZXRvIGRlIERhZG9zIFPDqm5pb3IiLCJodGlkb2NpZCI6IndQaVBHVV9jUlZXSXQ4aThBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lHUW5KaGVtbHMiLCJnbCI6ImJyIiwiaGwiOiJwdC1iciIsImZjIjoiRXN3QkNvd0JRVTUxVjJoamJtMXFhMlV4TUd0UlpFcDBPRUo0YmtSRGVIYzBhVkZVVUZwaWNIVnphaTEzVkhkUU1HRnNZVmxhYW0xR2RuUk1lVGxsZUZoZmRHeFFNazR0UVMxdk1XOXJPVzAyWkV4TVJFVmxabkl0WjNWVE5sVnlUMkZKVmtSTmFtMUZkVWRhVURWMlVFMHlVakpXVTB4dGNHbEJRMFJ4V0RGek1tTjNRWE5UV21sVWJGQndkM05vWkRJU0YybHpVM1ZhWTE5U1JrMU1aekp5YjFBNFNXRXhMVUZuR2lKQlVGaG9iVFZhTkVGVVRrMXhPV1E1YUdoSVYxaEJlbVYyWjFsM1dHNDRXakZCIiwiZmN2IjoiMyIsImZjX2lkIjoiZmNfMyIsImFwcGx5X2xpbmsiOnsidGl0bGUiOiJBY2Vzc2UgZW0gVkFHQVMuY29tIiwibGluayI6Imh0dHBzOi8vd3d3LnZhZ2FzLmNvbS5ici92YWdhcy92MjYwMzIyNy9wZXNzb2EtYXJxdWl0ZXRvLWRlLWRhZG9zLXNlbmlvcj91dG1fY2FtcGFpZ249Z29vZ2xlX2pvYnNfYXBwbHlcdTAwMjZ1dG1fc291cmNlPWdvb2dsZV9qb2JzX2FwcGx5XHUwMDI2dXRtX21lZGl1bT1vcmdhbmljIn19,58791230-604d-4696-b279-4b4b3cd746e9,Sênior,Arquiteto de Dados,SP,São Paulo,False,"SQL,Hive,MongoDB,Tableau,Jupyter,Power BI,Jupyter,Hadoop,MySQL,Oracle",Análise de dados,,Banco de Dados,,
BuscarVagas - Empregos e Consultoria Brasil, Indeed,eyJqb2JfdGl0bGUiOiJBTkFMSVNUQSBERSBCQU5DTyBERSBEQURPUyBQTEVOTyIsImh0aWRvY2lkIjoiY3lqX3JfalRTaFFpQnhubEFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSUdRbkpoZW1scyIsImdsIjoiYnIiLCJobCI6InB0LWJyIiwiYXBwbHlfbGluayI6eyJ0aXRsZSI6IkFjZXNzZSBlbSBJbmRlZWQiLCJsaW5rIjoiaHR0cHM6Ly9ici5pbmRlZWQuY29tL3ZpZXdqb2I/ams9NzJiYTM3MjdjZTY5N2NkNlx1MDAyNnV0bV9jYW1wYWlnbj1nb29nbGVfam9ic19hcHBseVx1MDAyNnV0bV9zb3VyY2U9Z29vZ2xlX2pvYnNfYXBwbHlcdTAwMjZ1dG1fbWVkaXVtPW9yZ2FuaWMifX0=,9966bd40-7643-47ee-a473-f73b0f9899f9,Pleno,ANALISTA DE BANCO DE DADOS PLENO,DF,Brasília,False,,,,,,
BRADESCO, Catho,eyJqb2JfdGl0bGUiOiJFc3BlY2lhbGlzdGEgU8OqbmlvciBlbSBFbmdlbmhhcmlhIGRlIERhZG9zIHwgQWR2YW5jZWQgQW5hbHl0aWNzIiwiaHRpZG9jaWQiOiJDbTNPaFJ6bU1HY19pZllvQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJR1FuSmhlbWxzIiwiZ2wiOiJiciIsImhsIjoicHQtYnIiLCJmYyI6IkVzd0JDb3dCUVU1MVYyaGphMXBFWlVsNlEyeHdVR1JSYUhGMmJVMXRhalZUYUc5alZYbE1lVW8yZUhJNVkxTk1lamRFTUhjemFHdHFlbDlUYWw5elVIZzNUMTlHZG1Wc2RXZFNORWM1UkdSMU1ISlpOREZmTUROQ01VcDZSR3h1TTFwa05HbDFYM1ZRTFRCbGJHY3dVR293Y1dsak1qZExObmc1WlMxa2VHdGFWekZ6UkVRd1JtSXhYMWhZVGxwclZtTVNGMmx6VTNWYVkxOVNSazFNWnpKeWIxQTRTV0V4TFVGbkdpSkJVRmhvYlRWWlQwWlVOREJ5TTJWTlZITlNTelpxZG5KTmRHaExWMmRTV0dSQiIsImZjdiI6IjMiLCJmY19pZCI6ImZjXzQiLCJhcHBseV9saW5rIjp7InRpdGxlIjoiQWNlc3NlIGVtIENhdGhvIiwibGluayI6Imh0dHBzOi8vd3d3LmNhdGhvLmNvbS5ici92YWdhcy9lc3BlY2lhbGlzdGEtc2VuaW9yLWVtLWVuZ2VuaGFyaWEtZGUtZGFkb3MtYWR2YW5jZWQtYW5hbHl0aWNzLzI2NDQyNTIwLz91dG1fY2FtcGFpZ249Z29vZ2xlX2pvYnNfYXBwbHlcdTAwMjZ1dG1fc291cmNlPWdvb2dsZV9qb2JzX2FwcGx5XHUwMDI2dXRtX21lZGl1bT1vcmdhbmljIn19,ea91f856-8960-437b-9f2c-0f4fb96d3eb1,Sênior,Especialista Sênior em Engenharia de Dados | Advanced Analytics,SP,Barueri,False,"Python,SQL,PowerBI,AWS,Redshift","Análise Exploratória de Dados,Dashboard,Visualização de dados,Estatística","Criatividade,Resiliência","Matemática,Estatística,Banco de Dados",,
Minsait, VAGAS.com,eyJqb2JfdGl0bGUiOiJQZXNzb2EgQXJxdWl0ZXRvIGRlIERhZG9zIFPDqm5pb3IiLCJodGlkb2NpZCI6IndQaVBHVV9jUlZXSXQ4aThBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lHUW5KaGVtbHMiLCJnbCI6ImJyIiwiaGwiOiJwdC1iciIsImZjIjoiRXN3QkNvd0JRVTUxVjJoamEyWnRZek5UV1dKMVQzb3dabDlIZDNCV2RuUnFUbkpPVjFGTWFDMU9iRXRFYm1kV1dWOVlkMHRQTWpoTVRITlJSRzFyZVV0TlJYTnZUbEJ0TlMxeU5FSnRlbFpSWTB0c2ExUlJNRzVRYlZSV04ycEVUa2hrY1d0eWN6SnhRMEpJTTBSSk5qbElXamhXTkdsRFZuRmlaRkIwVnpaTWNuQnZaV2RMWkU5VGJuZGxhSEZYVTBFU0YyMXpVM1ZhV1dsT1FqZFFObmRpYTFCd1pFOVBkMEYzR2lKQlVGaG9iVFZaUkhGZmRGQlpUbXBMTFVoYVJHVlBOVEZzUm5oTU9GbDBkMUJuIiwiZmN2IjoiMyIsImZjX2lkIjoiZmNfMSIsImFwcGx5X2xpbmsiOnsidGl0bGUiOiIubkZnMmVie2ZvbnQtd2VpZ2h0OjUwMH0uQmk2RGRje2ZvbnQtd2VpZ2h0OjUwMH1BY2Vzc2UgZW0gVkFHQVMuY29tIiwibGluayI6Imh0dHBzOi8vd3d3LnZhZ2FzLmNvbS5ici92YWdhcy92MjYwMzIyNy9wZXNzb2EtYXJxdWl0ZXRvLWRlLWRhZG9zLXNlbmlvcj91dG1fY2FtcGFpZ249Z29vZ2xlX2pvYnNfYXBwbHlcdTAwMjZ1dG1fc291cmNlPWdvb2dsZV9qb2JzX2FwcGx5XHUwMDI2dXRtX21lZGl1bT1vcmdhbmljIn19,afb4fe63-85f2-4242-be4f-b213e3ab60ab,Sênior,Arquiteto de Dados,SP,São Paulo,False,"SQL,Hive,MongoDB,Tableau,Jupyter,Power BI,Jupyter,Hadoop,MySQL,Oracle",Análise de dados,,Banco de Dados,,
Netvagas, Indeed,eyJqb2JfdGl0bGUiOiJBZG1pbmlzdHJhZG9yIGJhbmNvIGRhZG9zIHNyIiwiaHRpZG9jaWQiOiJzODhWZmRhZFRjVi1oTVFyQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJR1FuSmhlbWxzIiwiZ2wiOiJiciIsImhsIjoicHQtYnIiLCJmYyI6IkVzd0JDb3dCUVU1MVYyaGpiVWR5YkVwbVJGUlZSM1pHVEVoYVRtOVNRV0pUWkV3MFlXTjNZeTB4UkZCMmVGRm5ZblZUVEc1RmRrOU9XbHBEYTNkQmRuSllSWFJ5ZERWT2VsRkJXbmhZT0RKTk1WSlBNMjFNY0hRM01Yb3hkbDk1WmxGS1ZXSlVZMVZsTjJWRlIyZHJRamxaVmtoS2JGRXdlRmh3TkY5WGMyTnlWM0IyYTBsNk1VUkdSMGw2Tkhka1ZuUVNGMjF6VTNWYVdXbE9RamRRTm5kaWExQndaRTlQZDBGM0dpSkJVRmhvYlRWYWJHeExlVVJRZW5GZlJGSlJNbmhwWTFKcWJFRXliVFIwZVhkbiIsImZjdiI6IjMiLCJmY19pZCI6ImZjXzIiLCJhcHBseV9saW5rIjp7InRpdGxlIjoiQWNlc3NlIGVtIEluZGVlZCIsImxpbmsiOiJodHRwczovL2JyLmluZGVlZC5jb20vdmlld2pvYj9qaz0zNzNjYzAxODhlMDZiZWFkXHUwMDI2dXRtX2NhbXBhaWduPWdvb2dsZV9qb2JzX2FwcGx5XHUwMDI2dXRtX3NvdXJjZT1nb29nbGVfam9ic19hcHBseVx1MDAyNnV0bV9tZWRpdW09b3JnYW5pYyJ9fQ==,e7ed9b61-d278-4ada-aef3-c6b2f380b26d,Sênior,Administrador banco dados sr,Remoto,Remoto,True,,,,,,
Peoplepro Informatica Ltda, JOBATUS,eyJqb2JfdGl0bGUiOiJBbmFsaXN0YSBkZSBEYWRvcyBKdW5pb3IiLCJodGlkb2NpZCI6IkxyYUQwdEhTYlZ0U2FSdjZBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lHUW5KaGVtbHMiLCJnbCI6ImJyIiwiaGwiOiJwdC1iciIsImFwcGx5X2xpbmsiOnsidGl0bGUiOiJBY2Vzc2UgZW0gSk9CQVRVUyIsImxpbmsiOiJodHRwczovL3d3dy5qb2JhdHVzLmNvbS5ici92YWdhLWVtcHJlZ28vYW5hbGlzdGEtZGUtZGFkb3MtanVuaW9yLTQ2NDY3MjA5Mj91dG1fY2FtcGFpZ249Z29vZ2xlX2pvYnNfYXBwbHlcdTAwMjZ1dG1fc291cmNlPWdvb2dsZV9qb2JzX2FwcGx5XHUwMDI2dXRtX21lZGl1bT1vcmdhbmljIn19,90e05ec1-4e5c-4099-b5f1-4311e5980989,Júnior,Analista de Dados,SP,São Paulo,False,,,,,,
Concert Technologies, Atracaodetalentos.totvs.app,eyJqb2JfdGl0bGUiOiIwMDEvMjAyNCAtIFBlc3NvYSBUw6ljbmljYSBNYW51dGVuw6fDo28gZGUgQmFzZSBkZSBEYWRvcyIsImh0aWRvY2lkIjoiRWdzSVVLRnNVV1B1NkxmdEFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSUdRbkpoZW1scyIsImdsIjoiYnIiLCJobCI6InB0LWJyIiwiYXBwbHlfbGluayI6eyJ0aXRsZSI6IkFjZXNzZSBlbSBBdHJhY2FvZGV0YWxlbnRvcy50b3R2cy5hcHAiLCJsaW5rIjoiaHR0cHM6Ly9hdHJhY2FvZGV0YWxlbnRvcy50b3R2cy5hcHAvY29uY2VydC9qb2Itb3Bwb3J0dW5pdHkvMjQ/dXRtX2NhbXBhaWduPWdvb2dsZV9qb2JzX2FwcGx5XHUwMDI2dXRtX3NvdXJjZT1nb29nbGVfam9ic19hcHBseVx1MDAyNnV0bV9tZWRpdW09b3JnYW5pYyJ9fQ==,59b389b6-6beb-460c-9ebf-49713483f5a6,Não Informado,001/2024 - Pessoa Técnica Manutenção de Base de Dados,MG,Belo Horizonte,False,,,,,,
ADS Recrutamento e Seleção de Pessoal, Infojobs,eyJqb2JfdGl0bGUiOiJBbmFsaXN0YSBDb21lcmNpYWwg4oCTIEdlc3TDo28gZGUgRGFkb3MoRVhDTFVTSVZPIFBBUkEgUENEKSIsImh0aWRvY2lkIjoiekl3VHVSNDJ3ZFA4bWtYTUFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSUdRbkpoZW1scyIsImdsIjoiYnIiLCJobCI6InB0LWJyIiwiYXBwbHlfbGluayI6eyJ0aXRsZSI6IkFjZXNzZSBlbSBJbmZvam9icyIsImxpbmsiOiJodHRwczovL3d3dy5pbmZvam9icy5jb20uYnIvdmFnYS1kZS1hbmFsaXN0YS1jb21lcmNpYWwtZ2VzdGFvLWRhZG9zZXhjbHVzaXZvLXBjZC1lbS1yaW8tamFuZWlyb19fOTMzMDU1MS5hc3B4P3V0bV9jYW1wYWlnbj1nb29nbGVfam9ic19hcHBseVx1MDAyNnV0bV9zb3VyY2U9Z29vZ2xlX2pvYnNfYXBwbHlcdTAwMjZ1dG1fbWVkaXVtPW9yZ2FuaWMifX0=,08b9b0dd-43cf-4a8b-bdf9-3fe22f5d9977,Não Informado,Analista Comercial – Gestão de Dados(EXCLUSIVO PARA PCD),RJ,Rio de Janeiro,False,Excel,"Dashboard,Análise de dados","Resolução de problemas,Iniciativa",,,CLT
Consultrain Consultoria e Treinamentos Ltda, Glassdoor,eyJqb2JfdGl0bGUiOiJBc3Npc3RlbnRlIGRlIERhZG9zIiwiaHRpZG9jaWQiOiJwS3d1TVR4Y0xrZmxGUm9kQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJR1FuSmhlbWxzIiwiZ2wiOiJiciIsImhsIjoicHQtYnIiLCJhcHBseV9saW5rIjp7InRpdGxlIjoiQ2FuZGlkYXRhci1zZSBubyBzaXRlIEdsYXNzZG9vciIsImxpbmsiOiJodHRwczovL3d3dy5nbGFzc2Rvb3IuY29tLmJyL2pvYi1saXN0aW5nL2Fzc2lzdGVudGUtZGUtZGFkb3MtY29uc3VsdHJhaW4tY29uc3VsdG9yaWEtZS10cmVpbmFtZW50b3MtbHRkYS1KVl9JQzI0NzQwMDJfS08wLDE5X0tFMjAsNjMuaHRtP2psPTEwMDkwODIyNTI0MzZcdTAwMjZ1dG1fY2FtcGFpZ249Z29vZ2xlX2pvYnNfYXBwbHlcdTAwMjZ1dG1fc291cmNlPWdvb2dsZV9qb2JzX2FwcGx5XHUwMDI2dXRtX21lZGl1bT1vcmdhbmljIn19,cc11cf9c-c890-4f44-a292-d7a1da3994d7,Não Informado,Assistente de Dados,SP,São José do Rio Preto,False,,Dashboard,"Criatividade,Empatia",Tecnologia da Informação,,
Andrade Móveis, WhatJobs,eyJqb2JfdGl0bGUiOiJFc2NyaXR1csOhcmlvIGRlIEVudHJhZGEgZGUgRGFkb3MiLCJodGlkb2NpZCI6Ik1mWmt6UWk3NWk4Qmo5Y2RBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lHUW5KaGVtbHMiLCJnbCI6ImJyIiwiaGwiOiJwdC1iciIsImFwcGx5X2xpbmsiOnsidGl0bGUiOiJBY2Vzc2UgZW0gV2hhdEpvYnMiLCJsaW5rIjoiaHR0cHM6Ly9ici53aGF0am9icy5jb20vZW1wcmVnby1wYXJhLUVzY3JpdHVyJUMzJUExcmlvLWRlLUVudHJhZGEtZW0tc2FsdmFkb3ItY29vcDIwNzk0NzUzMD91dG1fY2FtcGFpZ249Z29vZ2xlX2pvYnNfYXBwbHlcdTAwMjZ1dG1fc291cmNlPWdvb2dsZV9qb2JzX2FwcGx5XHUwMDI2dXRtX21lZGl1bT1vcmdhbmljIn19,2d574088-24ea-4169-baa6-da4f4e9549fc,Não Informado,Escriturário de Entrada de Dados,BA,Salvador,False,,,,Banco de Dados,,CLT
Robert Walters, Robert Walters,eyJqb2JfdGl0bGUiOiJFbmdlbmhlaXJvIGRlIERhZG9zIEF6dXJlIFPDqm5pb3IiLCJodGlkb2NpZCI6IndraC1iN2lCRmNLNnpwbVdBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lHUW5KaGVtbHMiLCJnbCI6ImJyIiwiaGwiOiJwdC1iciIsImZjIjoiRXVJQkNxSUJRVTUxVjJoamJEQTJNVGhmWmxwdllVTTJPRGxhY0ZSb2JHRlFPVlUyU21KVExWVm5ibkZPZFZBMWEzcFNOVTVDWlVseVJ6VXdNWEJOZWpSWGJWbDNXR3h4WW1OaE0wbEVNelY2YUZsTGNsQkZlVTVvVGxWRVVUbDFRM2h4WmxBNGRqUmxibU5JUzNwR1dsODNMVFp6Y25oeGJraFFkMjVYV0dwSGNtTmZSRm8yUmtKUGJDMVRRbE5STVVNemIzWmtNWFV0WWpVMVJWTlpNamxsVERGdVdtdFJFaGR0YzFOMVdsbHBUa0kzVURaM1ltdFFjR1JQVDNkQmR4b2lRVkJZYUcwMVdYbDJlQzEyTkU5bGNuZHplVGxZY0V3eU0yaFZNbGRhWW5CSVVRIiwiZmN2IjoiMyIsImZjX2lkIjoiZmNfMyIsImFwcGx5X2xpbmsiOnsidGl0bGUiOiJDYW5kaWRhdGFyLXNlIG5vIHNpdGUgUm9iZXJ0IFdhbHRlcnMiLCJsaW5rIjoiaHR0cHM6Ly93d3cucm9iZXJ0d2FsdGVycy5jb20uYnIvdGVjbm9sb2dpYWRpZ2l0YWwvZW1wcmVnb3MvZGFkb3MvMTcwNzYxOC1lbmdlbmhlaXJvLWRlLWRhZG9zLWF6dXJlLXMlQzMlQUFuaW9yLmh0bWw/dXRtX2NhbXBhaWduPWdvb2dsZV9qb2JzX2FwcGx5XHUwMDI2dXRtX3NvdXJjZT1nb29nbGVfam9ic19hcHBseVx1MDAyNnV0bV9tZWRpdW09b3JnYW5pYyJ9fQ==,7db12576-e498-4aa7-a2c8-fb70d2ead474,Sênior,Engenheiro de Dados,Remoto,Remoto,True,"SQL,Azure",,,,DevOps,
